CS14_ENG_001	per:holds_shares_in	test1	LTW_ENG_20090603.0052:438-491	Democratic National Committee	LTW_ENG_20090603.0052:438-466	0.354159492703
CS14_ENG_002	gpe:births_in_city	test1	NYT_ENG_20090808.0110:2245-2298	Carleen Maley	NYT_ENG_20090808.0110:2245-2257	0.951734955997
CS14_ENG_002	gpe:births_in_city	test1	LTW_ENG_20090817.0007:3975-4020	Carleen Maley Hutchins	LTW_ENG_20090817.0007:3975-3996	0.509120018708
CS14_ENG_002	gpe:births_in_city	test1	LTW_ENG_20090817.0007:4141-4186	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	0.738389476966
CS14_ENG_002	gpe:births_in_city	test1	LTW_ENG_20090817.0007:4141-4162,LTW_ENG_20090817.0007:4141-4186,LTW_ENG_20090817.0007:4176-4186	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	0.905858858014
CS14_ENG_002	gpe:births_in_city	test1	LTW_ENG_20090817.0007:4141-4193	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	0.892134814067
CS14_ENG_002	gpe:births_in_city	test1	NYT_ENG_20100918.0020:3009-3069	Donald Walter Davis	NYT_ENG_20100918.0020:3009-3027	0.914916819431
CS14_ENG_002	gpe:births_in_city	test1	NYT_ENG_20100918.0020:3009-3027,NYT_ENG_20100918.0020:3009-3069,NYT_ENG_20100918.0020:3059-3069	Donald Walter Davis	NYT_ENG_20100918.0020:3009-3027	0.651469017811
CS14_ENG_002	gpe:births_in_city	test1	NYT_ENG_20100918.0020:3009-3092	Donald Walter Davis	NYT_ENG_20100918.0020:3009-3027	0.651109452362
CS14_ENG_002	gpe:births_in_city	test1	XIN_ENG_20101006.0347:2970-3031	Heck	XIN_ENG_20101006.0347:2970-2973	0.239011720095
CS14_ENG_002	gpe:births_in_city	test1	NYT_ENG_20100730.0177:1308-1369	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.494293365597
