CS14_ENG_001	per:holds_shares_in	test5	LTW_ENG_20090603.0052:438-491	Democratic National Committee	LTW_ENG_20090603.0052:438-466	0.331447236497
CS14_ENG_002	gpe:births_in_city	test5	NYT_ENG_20090808.0110:2245-2298	Carleen Maley	NYT_ENG_20090808.0110:2245-2257	0.281016688288
CS14_ENG_002	gpe:births_in_city	test5	NYT_ENG_20090808.0110:2376-2462	Carleen Maley	NYT_ENG_20090808.0110:2376-2388	0.158356223703
CS14_ENG_002	gpe:births_in_city	test5	LTW_ENG_20090817.0007:4141-4186	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	0.830172394509
CS14_ENG_002	gpe:births_in_city	test5	LTW_ENG_20090817.0007:4141-4162,LTW_ENG_20090817.0007:4141-4186,LTW_ENG_20090817.0007:4176-4186	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	0.919263226579
CS14_ENG_002	gpe:births_in_city	test5	LTW_ENG_20090817.0007:4141-4211	Carleen Maley Hutchins	LTW_ENG_20090817.0007:4141-4162	0.810421205903
CS14_ENG_002	gpe:births_in_city	test5	NYT_ENG_20100918.0020:3009-3027,NYT_ENG_20100918.0020:3009-3069,NYT_ENG_20100918.0020:3059-3069	Donald Walter Davis	NYT_ENG_20100918.0020:3009-3027	0.3238549802
CS14_ENG_002	gpe:births_in_city	test5	LTW_ENG_20090608.0008:959-1106	Joan White	LTW_ENG_20090608.0008:1028-1037	0.0421583253933
CS14_ENG_002	gpe:births_in_city	test5	NYT_ENG_20100730.0177:1308-1327,NYT_ENG_20100730.0177:1308-1369,NYT_ENG_20100730.0177:1359-1369	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.234806615863
CS14_ENG_002	gpe:births_in_city	test5	NYT_ENG_20100730.0177:1308-1407	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.389829466511
CS14_ENG_002	gpe:births_in_city	test5	NYT_ENG_20100730.0177:1308-1392	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.518070278509
CS14_ENG_002	gpe:births_in_city	test5	NYT_ENG_20100730.0177:1308-1407	John David Alexander	NYT_ENG_20100730.0177:1308-1327	0.172624837485
CS14_ENG_002	gpe:births_in_city	test5	XIN_ENG_20101006.0347:2970-3012	Richard F. Heck	XIN_ENG_20101006.0347:265-279	0.653183314268
CS14_ENG_002	gpe:births_in_city	test5	WPB_ENG_20100119.0076:3017-3134	Robert Brown Parker	WPB_ENG_20100119.0076:3017-3035	0.840614225176
CS14_ENG_003	per:other_family	test5	APW_ENG_20101123.0067:291-434,APW_ENG_20101123.0067:436-447	George Hickenlooper	APW_ENG_20101123.0067:234-252	0.524279788988
CS14_ENG_004	org:subsidiaries	test5	NYT_ENG_20090601.0195:1800-1816	E Ink Corp.	NYT_ENG_20090601.0195:113-123	0.61621577049
CS14_ENG_004	org:subsidiaries	test5	XIN_ENG_20100107.0273:1787-1904	E Ink Corporation	XIN_ENG_20100107.0273:1840-1856	0.994564755146
